iter	Passed	Remaining
962	3490	134
963	3498	130
964	3501	127
965	3505	123
966	3512	119
967	3518	116
968	3523	112
969	3528	109
970	3538	105
971	3546	102
972	3567	98
973	3577	95
974	3582	91
975	3585	88
976	3588	84
977	3592	80
978	3598	77
979	3602	73
980	3605	69
981	3612	66
982	3617	62
983	3620	58
984	3627	55
985	3633	51
986	3640	47
987	3646	44
988	3650	40
989	3655	36
990	3659	33
991	3662	29
992	3677	25
993	3683	22
994	3687	18
995	3691	14
996	3693	11
997	3697	7
998	3700	3
999	3703	0
